imo,description,ship_type
8922424,General Cargo,Cargo
9535917,General Cargo,Cargo
8963143,Water Tanker,Wing In Grnd
8902383,Crude Oil Tanker,Tanker
9411800,General Cargo,Cargo
9200627,Tug,Tug
9953406,Oil/Chemical Tanker,Tanker
8219516,Towing Vessel,Tug
9538658,Container Ship,Cargo - Hazard D (Recognizable)
9196735,High Speed Craft,High Speed Craft
8708000,Fish Carrier,Fishing
8215728,General Cargo,Cargo
9067099,Oil Products Tanker,Tanker
9434101,Oil/Chemical Tanker,Tanker
9467081,Bulk Carrier,Cargo
1138232,Tug,Tug
7047215,Multi Purpose Offshore Vessel,Dive Vessel
9728473,Bulk Carrier,Cargo
9475272,Passenger Ship,Passenger
7810844,Self Discharging Bulk Carrier,Cargo
9236925,Oil Products Tanker,Tanker
8599497,Aggregates Carrier,Cargo
9612284,Bulk Carrier,Cargo
8410873,General Cargo,Sailing Vessel
8734944,Trawler,Fishing
9112155,LPG Tanker,Tanker
8744236,Bulk Carrier,Cargo
9197935,Bulk Carrier,Cargo
9583031,Yacht,Pleasure Craft
8020185,Bulk Carrier,Cargo
8103092,Fishing Vessel,Fishing
7820849,Container Ship,Cargo
9074585,Crude Oil Tanker,Tanker
8304402,Fishing Vessel,Fishing
9254965,Oil/Chemical Tanker,Tug
9738260,Drilling Jack Up,Other
8710716,Container Ship,Cargo
9387932,Oil/Chemical Tanker,Tanker
4908913,Patrol Vessel,Military Ops
9101417,Fishing Vessel,Fishing
9688972,Bulk Carrier,Cargo
9705550,Multi Purpose Offshore Vessel,Other
1045370,General Cargo,Cargo
9085950,Oil Products Tanker,Tanker - Hazard B
9521784,Tug,Tug
7627728,General Cargo,Cargo
1023920,Crude Oil Tanker,Tanker
9095723,Oil Products Tanker,Tanker - Hazard B
9395915,Trawler,Fishing
9741308,Patrol Vessel,Military Ops
8806280,General Cargo,Cargo
9823613,Tug,Tug
9526021,Fish Carrier,Other
1019149,LPG/Chemical Tanker,Tanker
9711834,LPG Tanker,Tanker
9436070,Container Ship,Cargo
1087794,General Cargo,Cargo
9106364,Container Ship,Cargo
