seaport_id,seaport_name,country_id,latitude,longitude
CNSGJ,Songjiang,CN,31.0167,121.2333
CNSON,Songxia Pt,CN,25.6833,119.5833
CNSBN,Suibin,CN,47.3,131.85
CNSNN,Suining,CN,30.5333,105.5333
CNSUW,Sunwu,CN,49.4167,127.3167
CNSZH,Suzhou,CN,31.3167,120.6167
CNTAC,Taicang Pt,CN,31.45,121.1
CNTJG,Taijiang,CN,26.0833,119.5
CNTAP,Taiping,CN,21.0333,110.1667
CNTPW,Taipingwan,CN,37.2667,119.8333
CNTZO,Taizhou,CN,32.4833,119.9
CNTZU,Taizhou Pt,CN,32.5,119.9
CNTGG,Tanggu,CN,39.0167,117.65
CNTGS,Tangshan Pt,CN,39.6,118.1833
CNQNH,Tanmen,CN,19.2333,110.4667
CNTNJ,Tianjin,CN,39.0333,117.2
CNTNG,Tianjin Pt,CN,38.9833,117.75
CNTXG,Tianjin Xingang Pt,CN,38.9833,117.7
CNTOJ,Tongjiang,CN,47.65,132.5
CNTOL,Tongling Pt,CN,30.9333,117.8
CNTXZ,Tongxiang,CN,30.6333,120.5667
CNWIH,Waihai,CN,22.5833,113.1333
CNWAS,Wanshan Pt,CN,21.9333,113.7167
CNWAZ,Wanzai,CN,22.1833,113.5167
CNWEF,Weifang Pt,CN,36.7167,119.1
CNWEI,Weihai,CN,37.5167,122.1167
CNWEG,Weihai Pt,CN,37.5,122.1667
CNWIT,Weitou,CN,24.5333,118.6
CNLMG,Wenling Longmen Port,CN,28.4167,121.9833
CNWSH,Wenshan,CN,23.3667,104.25
CNWZO,Wenzhou Pt,CN,28.0167,120.65
CNWHU,Wuchuan,CN,21.45,110.75
CNNHN,Wuhan,CN,30.5833,114.2833
CNWHI,Wuhu Pt,CN,31.3167,118.3667
CNWUK,Wukan,CN,22.85,115.65
CNWXS,Wuxi,CN,31.5667,120.3
CNWUZ,Wuzhou Pt,CN,23.4833,111.3333
CNFQX,Xialong,CN,25.7,119.3833
CNXAM,Xiamen,CN,24.45,118.1
CNXMG,Xiamen Pt,CN,24.35,118.2
CNXIA,Xian,CN,34.2833,108.95
CNXTA,Xiangtan,CN,27.85,112.9
CNXZI,Xiangzhi,CN,24.7667,118.7667
CNXTN,Xiantan,CN,29.3333,104.8833
CNXCU,Xiaocuo Pt,CN,25.2,119.95
CNXAO,Xiaolan,CN,22.6667,113.2167
CNXOT,Xiaotang,CN,23.0833,112.9833
CNXIJ,Xijiang,CN,21.2833,114.8667
CNLSX,Xincun,CN,18.5,110.0167
CNXGA,Xingang,CN,23.0333,113.1
CNXIN,Xinhui Pt,CN,22.5333,113.0167
CNXNA,Xinsha,CN,22.9833,113.5333
CNXIT,Xintang Pt,CN,23.1167,113.6167
CNING,Xinyang,CN,32.1333,114.05
CNXYI,Xinying,CN,19.7333,109.2833
CNXTO,Xitou,CN,21.65,111.7833
CNXYG,Xiuyu Pt,CN,25.2333,118.95
CNXUK,Xunke,CN,49.55,128.4667
CNYJI,Yangjiang Pt,CN,21.8333,111.9667
CNYKG,Yangkou Pt,CN,32.55,121.4
CNYPG,Yangpu Pt,CN,19.7,109.2
CNYNG,Yangzhong,CN,32.2167,119.8167
CNYZH,Yangzhou Pt,CN,32.3833,119.4333
CNYAT,Yantai,CN,37.4635299,121.44801
